"","AAPL","ADBE","AMZN","CRM","CSCO","GOOGL","IBM","INTC","META","MSFT","NFLX","NVDA","ORCL","TSLA"
"AAPL",1,0.694408030077566,0.655558723663018,0.60147342027208,0.633439679511239,0.692735657945454,0.53549706967898,0.595955613186573,0.621269477448466,0.769215157572421,0.507272271799212,0.659825572619539,0.57940353522696,0.411615930706773
"ADBE",0.694408030077566,1,0.726529833864317,0.779981514663191,0.618193186439071,0.743732901278113,0.519788391833717,0.596046944358066,0.644543283639368,0.846672625526206,0.632783160521091,0.681897257972326,0.61080909308579,0.426226858308672
"AMZN",0.655558723663018,0.726529833864317,1,0.628361440669227,0.541121637649609,0.682052282609438,0.426828380650831,0.481346569566382,0.632640165946724,0.735355411663869,0.670032429665488,0.635540226949969,0.465355498015332,0.392247291470802
"CRM",0.60147342027208,0.779981514663191,0.628361440669227,1,0.54217935081561,0.646728912928018,0.472287998664411,0.476857638477461,0.58754086066842,0.734195140380769,0.580607117920004,0.594197082525014,0.543549104829204,0.420051204217474
"CSCO",0.633439679511239,0.618193186439071,0.541121637649609,0.54217935081561,1,0.63627089623473,0.668277034586371,0.630958304354774,0.488237171343922,0.706916360741686,0.433673816943475,0.598227165404366,0.660654166594516,0.295017923694112
"GOOGL",0.692735657945454,0.743732901278113,0.682052282609438,0.646728912928018,0.63627089623473,1,0.584999876545834,0.59177545832867,0.702680793350391,0.807386103072366,0.545666725358488,0.661820827499816,0.591778840024961,0.381283431988952
"IBM",0.53549706967898,0.519788391833717,0.426828380650831,0.472287998664411,0.668277034586371,0.584999876545834,1,0.564305497476984,0.410259238067699,0.612867815624126,0.322366531044401,0.499033989519871,0.603001508664607,0.272211544587143
"INTC",0.595955613186573,0.596046944358066,0.481346569566382,0.476857638477461,0.630958304354774,0.59177545832867,0.564305497476984,1,0.471255913038815,0.672978122418385,0.443409164778966,0.610359854120179,0.575580575046094,0.33416804827759
"META",0.621269477448466,0.644543283639368,0.632640165946724,0.58754086066842,0.488237171343922,0.702680793350391,0.410259238067699,0.471255913038815,1,0.658590297606139,0.507734146924707,0.581474200601038,0.485767859628421,0.332889527134927
"MSFT",0.769215157572421,0.846672625526206,0.735355411663869,0.734195140380769,0.706916360741686,0.807386103072366,0.612867815624126,0.672978122418385,0.658590297606139,1,0.584644217889444,0.720951650496466,0.684365985584995,0.441414246289848
"NFLX",0.507272271799212,0.632783160521091,0.670032429665488,0.580607117920004,0.433673816943475,0.545666725358488,0.322366531044401,0.443409164778966,0.507734146924707,0.584644217889444,1,0.536992432068765,0.400099411240479,0.360826840281243
"NVDA",0.659825572619539,0.681897257972326,0.635540226949969,0.594197082525014,0.598227165404366,0.661820827499816,0.499033989519871,0.610359854120179,0.581474200601038,0.720951650496466,0.536992432068765,1,0.531873616116824,0.413568440584342
"ORCL",0.57940353522696,0.61080909308579,0.465355498015332,0.543549104829204,0.660654166594516,0.591778840024961,0.603001508664607,0.575580575046094,0.485767859628421,0.684365985584995,0.400099411240479,0.531873616116824,1,0.244122456103091
"TSLA",0.411615930706773,0.426226858308672,0.392247291470802,0.420051204217474,0.295017923694112,0.381283431988952,0.272211544587143,0.33416804827759,0.332889527134927,0.441414246289848,0.360826840281243,0.413568440584342,0.244122456103091,1
